Year,Team,Wins,Losses,Win %,Division
2013,Dodgers,92,70,0.567901235,NL West
2013,Marlins,62,100,0.382716049,NL East
2013,Brewers,74,88,0.456790123,NL Central
2013,Mets,74,88,0.456790123,NL East
2013,Phillies,73,89,0.450617284,NL East
2013,Pirates,94,68,0.580246914,NL Central
2013,Padres,76,86,0.469135802,NL West
2013,Giants,76,86,0.469135802,NL West
2013,Cardinals,97,65,0.598765432,NL Central
2013,Nationals,86,76,0.530864198,NL East
2013,Diamondbacks,81,81,0.5,NL West
2013,Astros,51,111,0.314814815,AL West
2013,Orioles,85,77,0.524691358,AL East
2013,Red Sox,97,65,0.598765432,AL East
2013,White Sox,63,99,0.388888889,AL Central
2013,Cleveland,92,70,0.567901235,AL Central
2013,Tigers,93,69,0.574074074,AL Central
2013,Royals,86,76,0.530864198,AL Central
2013,Los Angeles Angels of Anaheim,78,84,0.481481481,AL West
2013,Twins,66,96,0.407407407,AL Central
2013,Yankees,85,77,0.524691358,AL East
2013,Athletics,96,66,0.592592593,AL West
2013,Mariners,71,91,0.438271605,AL West
2013,Rays,92,71,0.564417178,AL East
2013,Rangers,91,72,0.558282209,AL West
2013,Blue Jays,74,88,0.456790123,AL East
2014,Braves,79,83,0.487654321,NL East
2014,Cubs,73,89,0.450617284,NL Central
2014,Reds,76,86,0.469135802,NL Central
2014,Rockies,66,96,0.407407407,NL West
2014,Dodgers,94,68,0.580246914,NL West
2014,Marlins,77,85,0.475308642,NL East
2014,Brewers,82,80,0.50617284,NL Central
2014,Mets,79,83,0.487654321,NL East
2014,Phillies,73,89,0.450617284,NL East
2014,Pirates,88,74,0.543209877,NL Central
2014,Padres,77,85,0.475308642,NL West
2014,Giants,88,74,0.543209877,NL West
2014,Cardinals,90,72,0.555555556,NL Central
2014,Nationals,96,66,0.592592593,NL East
2014,Diamondbacks,64,98,0.395061728,NL West
2014,Astros,70,92,0.432098765,AL West
2014,Orioles,96,66,0.592592593,AL East
2014,Red Sox,71,91,0.438271605,AL East
2014,White Sox,73,89,0.450617284,AL Central
2014,Cleveland,85,77,0.524691358,AL Central
2014,Tigers,90,72,0.555555556,AL Central
2014,Royals,89,73,0.549382716,AL Central
2014,Los Angeles Angels of Anaheim,98,64,0.604938272,AL West
2014,Twins,70,92,0.432098765,AL Central
2014,Yankees,84,78,0.518518519,AL East
2014,Athletics,88,74,0.543209877,AL West
2014,Mariners,87,75,0.537037037,AL West
2014,Rays,77,85,0.475308642,AL East
2014,Rangers,67,95,0.413580247,AL West
2014,Blue Jays,83,79,0.512345679,AL East
2015,Braves,67,95,0.413580247,NL East
2015,Cubs,97,65,0.598765432,NL Central
2015,Reds,64,98,0.395061728,NL Central
2015,Rockies,68,94,0.419753086,NL West
2015,Dodgers,92,70,0.567901235,NL West
2015,Marlins,71,91,0.438271605,NL East
2015,Brewers,68,94,0.419753086,NL Central
2015,Mets,90,72,0.555555556,NL East
2015,Phillies,63,99,0.388888889,NL East
2015,Pirates,98,64,0.604938272,NL Central
2015,Padres,74,88,0.456790123,NL West
2015,Giants,84,78,0.518518519,NL West
2015,Cardinals,100,62,0.617283951,NL Central
2015,Nationals,83,79,0.512345679,NL East
2015,Diamondbacks,79,83,0.487654321,NL West
2015,Astros,86,76,0.530864198,AL West
2015,Orioles,81,81,0.5,AL East
2015,Red Sox,78,84,0.481481481,AL East
2015,White Sox,76,86,0.469135802,AL Central
2015,Cleveland,81,80,0.50310559,AL Central
2015,Tigers,74,87,0.459627329,AL Central
2015,Royals,95,67,0.586419753,AL Central
2015,Los Angeles Angels of Anaheim,85,77,0.524691358,AL West
2015,Twins,83,79,0.512345679,AL Central
2015,Yankees,87,75,0.537037037,AL East
2015,Athletics,68,94,0.419753086,AL West
2015,Mariners,76,86,0.469135802,AL West
2015,Rays,80,82,0.49382716,AL East
2015,Rangers,88,74,0.543209877,AL West
2015,Blue Jays,93,69,0.574074074,AL East
2016,Braves,68,93,0.422360248,NL East
2016,Cubs,103,58,0.639751553,NL Central
2016,Reds,68,94,0.419753086,NL Central
2016,Rockies,75,87,0.462962963,NL West
2016,Dodgers,91,71,0.561728395,NL West
2016,Marlins,79,82,0.49068323,NL East
2016,Brewers,73,89,0.450617284,NL Central
2016,Mets,87,75,0.537037037,NL East
2016,Phillies,71,91,0.438271605,NL East
2016,Pirates,78,83,0.48447205,NL Central
2016,Padres,68,94,0.419753086,NL West
2016,Giants,87,75,0.537037037,NL West
2016,Cardinals,86,76,0.530864198,NL Central
2016,Nationals,95,67,0.586419753,NL East
2016,Diamondbacks,69,93,0.425925926,NL West
2016,Astros,84,78,0.518518519,AL West
2016,Orioles,89,73,0.549382716,AL East
2016,Red Sox,93,69,0.574074074,AL East
2016,White Sox,78,84,0.481481481,AL Central
2016,Cleveland,94,67,0.583850932,AL Central
2016,Tigers,86,75,0.534161491,AL Central
2016,Royals,81,81,0.5,AL Central
2016,Los Angeles Angels of Anaheim,74,88,0.456790123,AL West
2016,Twins,59,103,0.364197531,AL Central
2016,Yankees,84,78,0.518518519,AL East
2016,Athletics,69,93,0.425925926,AL West
2016,Mariners,86,76,0.530864198,AL West
2016,Rays,68,94,0.419753086,AL East
2016,Rangers,95,67,0.586419753,AL West
2016,Blue Jays,89,73,0.549382716,AL East
2017,Braves,72,90,0.444444444,NL East
2017,Cubs,92,70,0.567901235,NL Central
2017,Reds,68,94,0.419753086,NL Central
2017,Rockies,87,75,0.537037037,NL West
2017,Dodgers,104,58,0.641975309,NL West
2017,Marlins,77,85,0.475308642,NL East
2017,Brewers,86,76,0.530864198,NL Central
2017,Mets,70,92,0.432098765,NL East
2017,Phillies,66,96,0.407407407,NL East
2017,Pirates,75,87,0.462962963,NL Central
2017,Padres,71,91,0.438271605,NL West
2017,Giants,64,98,0.395061728,NL West
2017,Cardinals,83,79,0.512345679,NL Central
2017,Nationals,97,65,0.598765432,NL East
2017,Diamondbacks,93,69,0.574074074,NL West
2017,Astros,101,61,0.62345679,AL West
2017,Orioles,75,87,0.462962963,AL East
2017,Red Sox,93,69,0.574074074,AL East
2017,White Sox,67,95,0.413580247,AL Central
2017,Cleveland,102,60,0.62962963,AL Central
2017,Tigers,64,98,0.395061728,AL Central
2017,Royals,80,82,0.49382716,AL Central
2017,Los Angeles Angels of Anaheim,80,82,0.49382716,AL West
2017,Twins,85,77,0.524691358,AL Central
2017,Yankees,91,71,0.561728395,AL East
2017,Athletics,75,87,0.462962963,AL West
2017,Mariners,78,84,0.481481481,AL West
2017,Rays,80,82,0.49382716,AL East
2017,Rangers,78,84,0.481481481,AL West
2017,Blue Jays,76,86,0.469135802,AL East
2018,Braves,90,72,0.555555556,NL East
2018,Cubs,95,68,0.582822086,NL Central
2018,Reds,67,95,0.413580247,NL Central
2018,Rockies,91,72,0.558282209,NL West
2018,Dodgers,92,71,0.564417178,NL West
2018,Marlins,63,98,0.391304348,NL East
2018,Brewers,96,67,0.588957055,NL Central
2018,Mets,77,85,0.475308642,NL East
2018,Phillies,80,82,0.49382716,NL East
2018,Pirates,82,79,0.50931677,NL Central
2018,Padres,66,96,0.407407407,NL West
2018,Giants,73,89,0.450617284,NL West
2018,Cardinals,88,74,0.543209877,NL Central
2018,Nationals,82,80,0.50617284,NL East
2018,Diamondbacks,82,80,0.50617284,NL West
2018,Astros,103,59,0.635802469,AL West
2018,Orioles,47,115,0.290123457,AL East
2018,Red Sox,108,54,0.666666667,AL East
2018,White Sox,62,100,0.382716049,AL Central
2018,Cleveland,91,71,0.561728395,AL Central
2018,Tigers,64,98,0.395061728,AL Central
2018,Royals,58,104,0.358024691,AL Central
2018,Los Angeles Angels of Anaheim,80,82,0.49382716,AL West
2018,Twins,78,84,0.481481481,AL Central
2018,Yankees,100,62,0.617283951,AL East
2018,Athletics,97,65,0.598765432,AL West
2018,Mariners,89,73,0.549382716,AL West
2018,Rays,90,72,0.555555556,AL East
2018,Rangers,67,95,0.413580247,AL West
2018,Blue Jays,73,89,0.450617284,AL East
2019,Braves,97,65,0.598765432,NL East
2019,Cubs,84,78,0.518518519,NL Central
2019,Reds,75,87,0.462962963,NL Central
2019,Rockies,71,91,0.438271605,NL West
2019,Dodgers,106,56,0.654320988,NL West
2019,Marlins,57,105,0.351851852,NL East
2019,Brewers,89,73,0.549382716,NL Central
2019,Mets,86,76,0.530864198,NL East
2019,Phillies,81,81,0.5,NL East
2019,Pirates,69,93,0.425925926,NL Central
2019,Padres,70,92,0.432098765,NL West
2019,Giants,77,85,0.475308642,NL West
2019,Cardinals,91,71,0.561728395,NL Central
2019,Nationals,93,69,0.574074074,NL East
2019,Diamondbacks,85,77,0.524691358,NL West
2019,Astros,107,55,0.660493827,AL West
2019,Orioles,54,108,0.333333333,AL East
2019,Red Sox,84,78,0.518518519,AL East
2019,White Sox,72,89,0.447204969,AL Central
2019,Cleveland,93,69,0.574074074,AL Central
2019,Tigers,47,114,0.291925466,AL Central
2019,Royals,59,103,0.364197531,AL Central
2019,Los Angeles Angels of Anaheim,72,90,0.444444444,AL West
2019,Twins,101,61,0.62345679,AL Central
2019,Yankees,103,59,0.635802469,AL East
2019,Athletics,97,65,0.598765432,AL West
2019,Mariners,68,94,0.419753086,AL West
2019,Rays,96,66,0.592592593,AL East
2019,Rangers,78,84,0.481481481,AL West
2019,Blue Jays,67,95,0.413580247,AL East
2020,Braves,35,25,0.583333333,NL East
2020,Cubs,34,26,0.566666667,NL Central
2020,Reds,31,29,0.516666667,NL Central
2020,Rockies,26,34,0.433333333,NL West
2020,Dodgers,43,17,0.716666667,NL West
2020,Marlins,31,29,0.516666667,NL East
2020,Brewers,29,31,0.483333333,NL Central
2020,Mets,26,34,0.433333333,NL East
2020,Phillies,28,32,0.466666667,NL East
2020,Pirates,19,41,0.316666667,NL Central
2020,Padres,37,23,0.616666667,NL West
2020,Giants,29,31,0.483333333,NL West
2020,Cardinals,30,28,0.517241379,NL Central
2020,Nationals,26,34,0.433333333,NL East
2020,Diamondbacks,25,35,0.416666667,NL West
2020,Astros,29,31,0.483333333,AL West
2020,Orioles,25,35,0.416666667,AL East
2020,Red Sox,24,36,0.4,AL East
2020,White Sox,35,25,0.583333333,AL Central
2020,Cleveland,35,25,0.583333333,AL Central
2020,Tigers,23,35,0.396551724,AL Central
2020,Royals,26,34,0.433333333,AL Central
2020,Los Angeles Angels of Anaheim,26,34,0.433333333,AL West
2020,Twins,36,24,0.6,AL Central
2020,Yankees,33,27,0.55,AL East
2020,Athletics,36,24,0.6,AL West
2020,Mariners,27,33,0.45,AL West
2020,Rays,40,20,0.666666667,AL East
2020,Rangers,22,38,0.366666667,AL West
2020,Blue Jays,32,28,0.533333333,AL East
2021,Braves,88,73,0.546583851,NL East
2021,Cubs,71,91,0.438271605,NL Central
2021,Reds,83,79,0.512345679,NL Central
2021,Rockies,74,87,0.459627329,NL West
2021,Dodgers,106,56,0.654320988,NL West
2021,Marlins,67,95,0.413580247,NL East
2021,Brewers,95,67,0.586419753,NL Central
2021,Mets,77,85,0.475308642,NL East
2021,Phillies,82,80,0.50617284,NL East
2021,Pirates,61,101,0.37654321,NL Central
2021,Padres,79,83,0.487654321,NL West
2021,Giants,107,55,0.660493827,NL West
2021,Cardinals,90,72,0.555555556,NL Central
2021,Nationals,65,97,0.401234568,NL East
2021,Diamondbacks,52,110,0.320987654,NL West
2021,Astros,95,67,0.586419753,AL West
2021,Orioles,52,110,0.320987654,AL East
2021,Red Sox,92,70,0.567901235,AL East
2021,White Sox,93,69,0.574074074,AL Central
2021,Cleveland,80,82,0.49382716,AL Central
2021,Tigers,77,85,0.475308642,AL Central
2021,Royals,74,88,0.456790123,AL Central
2021,Los Angeles Angels of Anaheim,77,85,0.475308642,AL West
2021,Twins,73,89,0.450617284,AL Central
2021,Yankees,92,70,0.567901235,AL East
2021,Athletics,86,76,0.530864198,AL West
2021,Mariners,90,72,0.555555556,AL West
2021,Rays,100,62,0.617283951,AL East
2021,Rangers,60,102,0.37037037,AL West
2021,Blue Jays,91,71,0.561728395,AL East
2022,Braves,101,61,0.62345679,NL East
2022,Cubs,74,88,0.456790123,NL Central
2022,Reds,62,100,0.382716049,NL Central
2022,Rockies,68,94,0.419753086,NL West
2022,Dodgers,111,51,0.685185185,NL West
2022,Marlins,69,93,0.425925926,NL East
2022,Brewers,86,76,0.530864198,NL Central
2022,Mets,101,61,0.62345679,NL East
2022,Phillies,87,75,0.537037037,NL East
2022,Pirates,62,100,0.382716049,NL Central
2022,Padres,89,73,0.549382716,NL West
2022,Giants,81,81,0.5,NL West
2022,Cardinals,93,69,0.574074074,NL Central
2022,Nationals,55,107,0.339506173,NL East
2022,Diamondbacks,74,88,0.456790123,NL West
2022,Astros,106,56,0.654320988,AL West
2022,Orioles,83,79,0.512345679,AL East
2022,Red Sox,78,84,0.481481481,AL East
2022,White Sox,81,81,0.5,AL Central
2022,Cleveland,92,70,0.567901235,AL Central
2022,Tigers,66,96,0.407407407,AL Central
2022,Royals,65,97,0.401234568,AL Central
2022,Los Angeles Angels of Anaheim,73,89,0.450617284,AL West
2022,Twins,78,84,0.481481481,AL Central
2022,Yankees,99,63,0.611111111,AL East
2022,Athletics,60,102,0.37037037,AL West
2022,Mariners,90,72,0.555555556,AL West
2022,Rays,86,76,0.530864198,AL East
2022,Rangers,68,94,0.419753086,AL West
2022,Blue Jays,92,70,0.567901235,AL East
2023,Braves,104,58,0.641975309,NL East
2023,Cubs,83,79,0.512345679,NL Central
2023,Reds,82,80,0.50617284,NL Central
2023,Rockies,59,103,0.364197531,NL West
2023,Dodgers,100,62,0.617283951,NL West
2023,Marlins,84,77,0.52173913,NL East
2023,Brewers,92,70,0.567901235,NL Central
2023,Mets,74,87,0.459627329,NL East
2023,Phillies,90,72,0.555555556,NL East
2023,Pirates,76,86,0.469135802,NL Central
2023,Padres,82,80,0.50617284,NL West
2023,Giants,79,83,0.487654321,NL West
2023,Cardinals,71,91,0.438271605,NL Central
2023,Nationals,71,91,0.438271605,NL East
2023,Diamondbacks,84,78,0.518518519,NL West
2023,Astros,90,72,0.555555556,AL West
2023,Orioles,101,61,0.62345679,AL East
2023,Red Sox,78,84,0.481481481,AL East
2023,White Sox,61,101,0.37654321,AL Central
2023,Cleveland,76,86,0.469135802,AL Central
2023,Tigers,78,84,0.481481481,AL Central
2023,Royals,56,106,0.345679012,AL Central
2023,Los Angeles Angels of Anaheim,73,89,0.450617284,AL West
2023,Twins,87,75,0.537037037,AL Central
2023,Yankees,82,80,0.50617284,AL East
2023,Athletics,50,112,0.308641975,AL West
2023,Mariners,88,74,0.543209877,AL West
2023,Rays,99,63,0.611111111,AL East
2023,Rangers,90,72,0.555555556,AL West
2023,Blue Jays,89,73,0.549382716,AL East
2024,Braves,89,73,0.549382716,NL East
2024,Cubs,83,79,0.512345679,NL Central
2024,Reds,77,85,0.475308642,NL Central
2024,Rockies,61,101,0.37654321,NL West
2024,Dodgers,98,64,0.604938272,NL West
2024,Marlins,62,100,0.382716049,NL East
2024,Brewers,93,69,0.574074074,NL Central
2024,Mets,89,73,0.549382716,NL East
2024,Phillies,95,67,0.586419753,NL East
2024,Pirates,76,86,0.469135802,NL Central
2024,Padres,93,69,0.574074074,NL West
2024,Giants,80,82,0.49382716,NL West
2024,Cardinals,83,79,0.512345679,NL Central
2024,Nationals,71,91,0.438271605,NL East
2024,Diamondbacks,89,73,0.549382716,NL West
2024,Astros,88,73,0.546583851,AL West
2024,Orioles,91,71,0.561728395,AL East
2024,Red Sox,81,81,0.5,AL East
2024,White Sox,41,121,0.25308642,AL Central
2024,Cleveland,92,69,0.571428571,AL Central
2024,Tigers,86,76,0.530864198,AL Central
2024,Royals,86,76,0.530864198,AL Central
2024,Los Angeles Angels of Anaheim,63,99,0.388888889,AL West
2024,Twins,82,80,0.50617284,AL Central
2024,Yankees,94,68,0.580246914,AL East
2024,Athletics,69,93,0.425925926,AL West
2024,Mariners,85,77,0.524691358,AL West
2024,Rays,80,82,0.49382716,AL East
2024,Rangers,78,84,0.481481481,AL West
2024,Blue Jays,74,88,0.456790123,AL East
