Year,Team,Wins,Losses,Win %
2009,Cubs,83,78,0.515527950310559
2009,Reds,78,84,0.48148148148148145
2009,Rockies,92,70,0.5679012345679012
2009,Dodgers,95,67,0.5864197530864198
2009,Marlins,87,75,0.5370370370370371
2009,Brewers,80,82,0.49382716049382713
2009,Mets,70,92,0.43209876543209874
2009,Phillies,93,69,0.5740740740740741
2009,Pirates,62,99,0.38509316770186336
2009,Padres,75,87,0.46296296296296297
2009,Giants,88,74,0.5432098765432098
2009,Cardinals,91,71,0.5617283950617284
2009,Nationals,59,103,0.36419753086419754
2009,Diamondbacks,70,92,0.43209876543209874
2009,Astros,74,88,0.4567901234567901
2009,Orioles,64,98,0.3950617283950617
2009,Red Sox,95,67,0.5864197530864198
2009,White Sox,79,83,0.4876543209876543
2009,Cleveland,65,97,0.4012345679012346
2009,Tigers,86,77,0.5276073619631901
2009,Royals,65,97,0.4012345679012346
2009,Los Angeles Angels of Anaheim,97,65,0.5987654320987654
2009,Twins,87,76,0.5337423312883436
2009,Yankees,103,59,0.6358024691358025
2009,Athletics,75,87,0.46296296296296297
2009,Mariners,85,77,0.5246913580246914
2009,Rays,84,78,0.5185185185185185
2009,Rangers,87,75,0.5370370370370371
2009,Blue Jays,75,87,0.46296296296296297
2010,Braves,91,71,0.5617283950617284
2010,Cubs,75,87,0.46296296296296297
2010,Reds,91,71,0.5617283950617284
2010,Rockies,83,79,0.5123456790123457
2010,Dodgers,80,82,0.49382716049382713
2010,Marlins,80,82,0.49382716049382713
2010,Brewers,77,85,0.47530864197530864
2010,Mets,79,83,0.4876543209876543
2010,Phillies,97,65,0.5987654320987654
2010,Pirates,57,105,0.35185185185185186
2010,Padres,90,72,0.5555555555555556
2010,Giants,92,70,0.5679012345679012
2010,Cardinals,86,76,0.5308641975308642
2010,Nationals,69,93,0.42592592592592593
2010,Diamondbacks,65,97,0.4012345679012346
2010,Astros,76,86,0.4691358024691358
2010,Orioles,66,96,0.4074074074074074
2010,Red Sox,89,73,0.5493827160493827
2010,White Sox,88,74,0.5432098765432098
2010,Cleveland,69,93,0.42592592592592593
2010,Tigers,81,81,0.5
2010,Royals,67,95,0.41358024691358025
2010,Los Angeles Angels of Anaheim,80,82,0.49382716049382713
2010,Twins,94,68,0.5802469135802469
2010,Yankees,95,67,0.5864197530864198
2010,Athletics,81,81,0.5
2010,Mariners,61,101,0.3765432098765432
2010,Rays,96,66,0.5925925925925926
2010,Rangers,90,72,0.5555555555555556
2010,Blue Jays,85,77,0.5246913580246914
2011,Braves,89,73,0.5493827160493827
2011,Cubs,71,91,0.4382716049382716
2011,Reds,79,83,0.4876543209876543
2011,Rockies,73,89,0.4506172839506173
2011,Dodgers,82,79,0.5093167701863354
2011,Marlins,72,90,0.4444444444444444
2011,Brewers,96,66,0.5925925925925926
2011,Mets,77,85,0.47530864197530864
2011,Phillies,102,60,0.6296296296296297
2011,Pirates,72,90,0.4444444444444444
2011,Padres,71,91,0.4382716049382716
2011,Giants,86,76,0.5308641975308642
2011,Cardinals,90,72,0.5555555555555556
2011,Nationals,80,81,0.4968944099378882
2011,Diamondbacks,94,68,0.5802469135802469
2011,Astros,56,106,0.345679012345679
2011,Orioles,69,93,0.42592592592592593
2011,Red Sox,90,72,0.5555555555555556
2011,White Sox,79,83,0.4876543209876543
2011,Cleveland,80,82,0.49382716049382713
2011,Tigers,95,67,0.5864197530864198
2011,Royals,71,91,0.4382716049382716
2011,Los Angeles Angels of Anaheim,86,76,0.5308641975308642
2011,Twins,63,99,0.3888888888888889
2011,Yankees,97,65,0.5987654320987654
2011,Athletics,74,88,0.4567901234567901
2011,Mariners,67,95,0.41358024691358025
2011,Rays,91,71,0.5617283950617284
2011,Rangers,96,66,0.5925925925925926
2011,Blue Jays,81,81,0.5
2012,Braves,94,68,0.5802469135802469
2012,Cubs,61,101,0.3765432098765432
2012,Reds,97,65,0.5987654320987654
2012,Rockies,64,98,0.3950617283950617
2012,Dodgers,86,76,0.5308641975308642
2012,Marlins,69,93,0.42592592592592593
2012,Brewers,83,79,0.5123456790123457
2012,Mets,74,88,0.4567901234567901
2012,Phillies,81,81,0.5
2012,Pirates,79,83,0.4876543209876543
2012,Padres,76,86,0.4691358024691358
2012,Giants,94,68,0.5802469135802469
2012,Cardinals,88,74,0.5432098765432098
2012,Nationals,98,64,0.6049382716049383
2012,Diamondbacks,81,81,0.5
2012,Astros,55,107,0.3395061728395062
2012,Orioles,93,69,0.5740740740740741
2012,Red Sox,69,93,0.42592592592592593
2012,White Sox,85,77,0.5246913580246914
2012,Cleveland,68,94,0.41975308641975306
2012,Tigers,88,74,0.5432098765432098
2012,Royals,72,90,0.4444444444444444
2012,Los Angeles Angels of Anaheim,89,73,0.5493827160493827
2012,Twins,66,96,0.4074074074074074
2012,Yankees,95,67,0.5864197530864198
2012,Athletics,94,68,0.5802469135802469
2012,Mariners,75,87,0.46296296296296297
2012,Rays,90,72,0.5555555555555556
2012,Rangers,93,69,0.5740740740740741
2012,Blue Jays,73,89,0.4506172839506173
2013,Braves,96,66,0.5925925925925926
2013,Cubs,66,96,0.4074074074074074
2013,Reds,90,72,0.5555555555555556
2013,Rockies,74,88,0.4567901234567901
2013,Dodgers,92,70,0.5679012345679012
2013,Marlins,62,100,0.38271604938271603
2013,Brewers,74,88,0.4567901234567901
2013,Mets,74,88,0.4567901234567901
2013,Phillies,73,89,0.4506172839506173
2013,Pirates,94,68,0.5802469135802469
2013,Padres,76,86,0.4691358024691358
2013,Giants,76,86,0.4691358024691358
2013,Cardinals,97,65,0.5987654320987654
2013,Nationals,86,76,0.5308641975308642
2013,Diamondbacks,81,81,0.5
2013,Astros,51,111,0.3148148148148148
2013,Orioles,85,77,0.5246913580246914
2013,Red Sox,97,65,0.5987654320987654
2013,White Sox,63,99,0.3888888888888889
2013,Cleveland,92,70,0.5679012345679012
2013,Tigers,93,69,0.5740740740740741
2013,Royals,86,76,0.5308641975308642
2013,Los Angeles Angels of Anaheim,78,84,0.48148148148148145
2013,Twins,66,96,0.4074074074074074
2013,Yankees,85,77,0.5246913580246914
2013,Athletics,96,66,0.5925925925925926
2013,Mariners,71,91,0.4382716049382716
2013,Rays,92,71,0.5644171779141104
2013,Rangers,91,72,0.558282208588957
2013,Blue Jays,74,88,0.4567901234567901
2014,Braves,79,83,0.4876543209876543
2014,Cubs,73,89,0.4506172839506173
2014,Reds,76,86,0.4691358024691358
2014,Rockies,66,96,0.4074074074074074
2014,Dodgers,94,68,0.5802469135802469
2014,Marlins,77,85,0.47530864197530864
2014,Brewers,82,80,0.5061728395061729
2014,Mets,79,83,0.4876543209876543
2014,Phillies,73,89,0.4506172839506173
2014,Pirates,88,74,0.5432098765432098
2014,Padres,77,85,0.47530864197530864
2014,Giants,88,74,0.5432098765432098
2014,Cardinals,90,72,0.5555555555555556
2014,Nationals,96,66,0.5925925925925926
2014,Diamondbacks,64,98,0.3950617283950617
2014,Astros,70,92,0.43209876543209874
2014,Orioles,96,66,0.5925925925925926
2014,Red Sox,71,91,0.4382716049382716
2014,White Sox,73,89,0.4506172839506173
2014,Cleveland,85,77,0.5246913580246914
2014,Tigers,90,72,0.5555555555555556
2014,Royals,89,73,0.5493827160493827
2014,Los Angeles Angels of Anaheim,98,64,0.6049382716049383
2014,Twins,70,92,0.43209876543209874
2014,Yankees,84,78,0.5185185185185185
2014,Athletics,88,74,0.5432098765432098
2014,Mariners,87,75,0.5370370370370371
2014,Rays,77,85,0.47530864197530864
2014,Rangers,67,95,0.41358024691358025
2014,Blue Jays,83,79,0.5123456790123457
2015,Braves,67,95,0.41358024691358025
2015,Cubs,97,65,0.5987654320987654
2015,Reds,64,98,0.3950617283950617
2015,Rockies,68,94,0.41975308641975306
2015,Dodgers,92,70,0.5679012345679012
2015,Marlins,71,91,0.4382716049382716
2015,Brewers,68,94,0.41975308641975306
2015,Mets,90,72,0.5555555555555556
2015,Phillies,63,99,0.3888888888888889
2015,Pirates,98,64,0.6049382716049383
2015,Padres,74,88,0.4567901234567901
2015,Giants,84,78,0.5185185185185185
2015,Cardinals,100,62,0.6172839506172839
2015,Nationals,83,79,0.5123456790123457
2015,Diamondbacks,79,83,0.4876543209876543
2015,Astros,86,76,0.5308641975308642
2015,Orioles,81,81,0.5
2015,Red Sox,78,84,0.48148148148148145
2015,White Sox,76,86,0.4691358024691358
2015,Cleveland,81,80,0.5031055900621118
2015,Tigers,74,87,0.45962732919254656
2015,Royals,95,67,0.5864197530864198
2015,Los Angeles Angels of Anaheim,85,77,0.5246913580246914
2015,Twins,83,79,0.5123456790123457
2015,Yankees,87,75,0.5370370370370371
2015,Athletics,68,94,0.41975308641975306
2015,Mariners,76,86,0.4691358024691358
2015,Rays,80,82,0.49382716049382713
2015,Rangers,88,74,0.5432098765432098
2015,Blue Jays,93,69,0.5740740740740741
2016,Braves,68,93,0.422360248447205
2016,Cubs,103,58,0.639751552795031
2016,Reds,68,94,0.41975308641975306
2016,Rockies,75,87,0.46296296296296297
2016,Dodgers,91,71,0.5617283950617284
2016,Marlins,79,82,0.4906832298136646
2016,Brewers,73,89,0.4506172839506173
2016,Mets,87,75,0.5370370370370371
2016,Phillies,71,91,0.4382716049382716
2016,Pirates,78,83,0.484472049689441
2016,Padres,68,94,0.41975308641975306
2016,Giants,87,75,0.5370370370370371
2016,Cardinals,86,76,0.5308641975308642
2016,Nationals,95,67,0.5864197530864198
2016,Diamondbacks,69,93,0.42592592592592593
2016,Astros,84,78,0.5185185185185185
2016,Orioles,89,73,0.5493827160493827
2016,Red Sox,93,69,0.5740740740740741
2016,White Sox,78,84,0.48148148148148145
2016,Cleveland,94,67,0.5838509316770186
2016,Tigers,86,75,0.5341614906832298
2016,Royals,81,81,0.5
2016,Los Angeles Angels of Anaheim,74,88,0.4567901234567901
2016,Twins,59,103,0.36419753086419754
2016,Yankees,84,78,0.5185185185185185
2016,Athletics,69,93,0.42592592592592593
2016,Mariners,86,76,0.5308641975308642
2016,Rays,68,94,0.41975308641975306
2016,Rangers,95,67,0.5864197530864198
2016,Blue Jays,89,73,0.5493827160493827
2017,Braves,72,90,0.4444444444444444
2017,Cubs,92,70,0.5679012345679012
2017,Reds,68,94,0.41975308641975306
2017,Rockies,87,75,0.5370370370370371
2017,Dodgers,104,58,0.6419753086419753
2017,Marlins,77,85,0.47530864197530864
2017,Brewers,86,76,0.5308641975308642
2017,Mets,70,92,0.43209876543209874
2017,Phillies,66,96,0.4074074074074074
2017,Pirates,75,87,0.46296296296296297
2017,Padres,71,91,0.4382716049382716
2017,Giants,64,98,0.3950617283950617
2017,Cardinals,83,79,0.5123456790123457
2017,Nationals,97,65,0.5987654320987654
2017,Diamondbacks,93,69,0.5740740740740741
2017,Astros,101,61,0.6234567901234568
2017,Orioles,75,87,0.46296296296296297
2017,Red Sox,93,69,0.5740740740740741
2017,White Sox,67,95,0.41358024691358025
2017,Cleveland,102,60,0.6296296296296297
2017,Tigers,64,98,0.3950617283950617
2017,Royals,80,82,0.49382716049382713
2017,Los Angeles Angels of Anaheim,80,82,0.49382716049382713
2017,Twins,85,77,0.5246913580246914
2017,Yankees,91,71,0.5617283950617284
2017,Athletics,75,87,0.46296296296296297
2017,Mariners,78,84,0.48148148148148145
2017,Rays,80,82,0.49382716049382713
2017,Rangers,78,84,0.48148148148148145
2017,Blue Jays,76,86,0.4691358024691358
2018,Braves,90,72,0.5555555555555556
2018,Cubs,95,68,0.5828220858895705
2018,Reds,67,95,0.41358024691358025
2018,Rockies,91,72,0.558282208588957
2018,Dodgers,92,71,0.5644171779141104
2018,Marlins,63,98,0.391304347826087
2018,Brewers,96,67,0.588957055214724
2018,Mets,77,85,0.47530864197530864
2018,Phillies,80,82,0.49382716049382713
2018,Pirates,82,79,0.5093167701863354
2018,Padres,66,96,0.4074074074074074
2018,Giants,73,89,0.4506172839506173
2018,Cardinals,88,74,0.5432098765432098
2018,Nationals,82,80,0.5061728395061729
2018,Diamondbacks,82,80,0.5061728395061729
2018,Astros,103,59,0.6358024691358025
2018,Orioles,47,115,0.29012345679012347
2018,Red Sox,108,54,0.6666666666666666
2018,White Sox,62,100,0.38271604938271603
2018,Cleveland,91,71,0.5617283950617284
2018,Tigers,64,98,0.3950617283950617
2018,Royals,58,104,0.35802469135802467
2018,Los Angeles Angels of Anaheim,80,82,0.49382716049382713
2018,Twins,78,84,0.48148148148148145
2018,Yankees,100,62,0.6172839506172839
2018,Athletics,97,65,0.5987654320987654
2018,Mariners,89,73,0.5493827160493827
2018,Rays,90,72,0.5555555555555556
2018,Rangers,67,95,0.41358024691358025
2018,Blue Jays,73,89,0.4506172839506173
2019,Braves,97,65,0.5987654320987654
2019,Cubs,84,78,0.5185185185185185
2019,Reds,75,87,0.46296296296296297
2019,Rockies,71,91,0.4382716049382716
2019,Dodgers,106,56,0.654320987654321
2019,Marlins,57,105,0.35185185185185186
2019,Brewers,89,73,0.5493827160493827
2019,Mets,86,76,0.5308641975308642
2019,Phillies,81,81,0.5
2019,Pirates,69,93,0.42592592592592593
2019,Padres,70,92,0.43209876543209874
2019,Giants,77,85,0.47530864197530864
2019,Cardinals,91,71,0.5617283950617284
2019,Nationals,93,69,0.5740740740740741
2019,Diamondbacks,85,77,0.5246913580246914
2019,Astros,107,55,0.6604938271604939
2019,Orioles,54,108,0.3333333333333333
2019,Red Sox,84,78,0.5185185185185185
2019,White Sox,72,89,0.4472049689440994
2019,Cleveland,93,69,0.5740740740740741
2019,Tigers,47,114,0.2919254658385093
2019,Royals,59,103,0.36419753086419754
2019,Los Angeles Angels of Anaheim,72,90,0.4444444444444444
2019,Twins,101,61,0.6234567901234568
2019,Yankees,103,59,0.6358024691358025
2019,Athletics,97,65,0.5987654320987654
2019,Mariners,68,94,0.41975308641975306
2019,Rays,96,66,0.5925925925925926
2019,Rangers,78,84,0.48148148148148145
2019,Blue Jays,67,95,0.41358024691358025
2020,Braves,35,25,0.5833333333333334
2020,Cubs,34,26,0.5666666666666667
2020,Reds,31,29,0.5166666666666667
2020,Rockies,26,34,0.43333333333333335
2020,Dodgers,43,17,0.7166666666666667
2020,Marlins,31,29,0.5166666666666667
2020,Brewers,29,31,0.48333333333333334
2020,Mets,26,34,0.43333333333333335
2020,Phillies,28,32,0.4666666666666667
2020,Pirates,19,41,0.31666666666666665
2020,Padres,37,23,0.6166666666666667
2020,Giants,29,31,0.48333333333333334
2020,Cardinals,30,28,0.5172413793103449
2020,Nationals,26,34,0.43333333333333335
2020,Diamondbacks,25,35,0.4166666666666667
2020,Astros,29,31,0.48333333333333334
2020,Orioles,25,35,0.4166666666666667
2020,Red Sox,24,36,0.4
2020,White Sox,35,25,0.5833333333333334
2020,Cleveland,35,25,0.5833333333333334
2020,Tigers,23,35,0.39655172413793105
2020,Royals,26,34,0.43333333333333335
2020,Los Angeles Angels of Anaheim,26,34,0.43333333333333335
2020,Twins,36,24,0.6
2020,Yankees,33,27,0.55
2020,Athletics,36,24,0.6
2020,Mariners,27,33,0.45
2020,Rays,40,20,0.6666666666666666
2020,Rangers,22,38,0.36666666666666664
2020,Blue Jays,32,28,0.5333333333333333
2021,Braves,88,73,0.546583850931677
2021,Cubs,71,91,0.4382716049382716
2021,Reds,83,79,0.5123456790123457
2021,Rockies,74,87,0.45962732919254656
2021,Dodgers,106,56,0.654320987654321
2021,Marlins,67,95,0.41358024691358025
2021,Brewers,95,67,0.5864197530864198
2021,Mets,77,85,0.47530864197530864
2021,Phillies,82,80,0.5061728395061729
2021,Pirates,61,101,0.3765432098765432
2021,Padres,79,83,0.4876543209876543
2021,Giants,107,55,0.6604938271604939
2021,Cardinals,90,72,0.5555555555555556
2021,Nationals,65,97,0.4012345679012346
2021,Diamondbacks,52,110,0.32098765432098764
2021,Astros,95,67,0.5864197530864198
2021,Orioles,52,110,0.32098765432098764
2021,Red Sox,92,70,0.5679012345679012
2021,White Sox,93,69,0.5740740740740741
2021,Cleveland,80,82,0.49382716049382713
2021,Tigers,77,85,0.47530864197530864
2021,Royals,74,88,0.4567901234567901
2021,Los Angeles Angels of Anaheim,77,85,0.47530864197530864
2021,Twins,73,89,0.4506172839506173
2021,Yankees,92,70,0.5679012345679012
2021,Athletics,86,76,0.5308641975308642
2021,Mariners,90,72,0.5555555555555556
2021,Rays,100,62,0.6172839506172839
2021,Rangers,60,102,0.37037037037037035
2021,Blue Jays,91,71,0.5617283950617284
2022,Braves,101,61,0.6234567901234568
2022,Cubs,74,88,0.4567901234567901
2022,Reds,62,100,0.38271604938271603
2022,Rockies,68,94,0.41975308641975306
2022,Dodgers,111,51,0.6851851851851852
2022,Marlins,69,93,0.42592592592592593
2022,Brewers,86,76,0.5308641975308642
2022,Mets,101,61,0.6234567901234568
2022,Phillies,87,75,0.5370370370370371
2022,Pirates,62,100,0.38271604938271603
2022,Padres,89,73,0.5493827160493827
2022,Giants,81,81,0.5
2022,Cardinals,93,69,0.5740740740740741
2022,Nationals,55,107,0.3395061728395062
2022,Diamondbacks,74,88,0.4567901234567901
2022,Astros,106,56,0.654320987654321
2022,Orioles,83,79,0.5123456790123457
2022,Red Sox,78,84,0.48148148148148145
2022,White Sox,81,81,0.5
2022,Cleveland,92,70,0.5679012345679012
2022,Tigers,66,96,0.4074074074074074
2022,Royals,65,97,0.4012345679012346
2022,Los Angeles Angels of Anaheim,73,89,0.4506172839506173
2022,Twins,78,84,0.48148148148148145
2022,Yankees,99,63,0.6111111111111112
2022,Athletics,60,102,0.37037037037037035
2022,Mariners,90,72,0.5555555555555556
2022,Rays,86,76,0.5308641975308642
2022,Rangers,68,94,0.41975308641975306
2022,Blue Jays,92,70,0.5679012345679012
2023,Braves,104,58,0.6419753086419753
2023,Cubs,83,79,0.5123456790123457
2023,Reds,82,80,0.5061728395061729
2023,Rockies,59,103,0.36419753086419754
2023,Dodgers,100,62,0.6172839506172839
2023,Marlins,84,77,0.5217391304347826
2023,Brewers,92,70,0.5679012345679012
2023,Mets,74,87,0.45962732919254656
2023,Phillies,90,72,0.5555555555555556
2023,Pirates,76,86,0.4691358024691358
2023,Padres,82,80,0.5061728395061729
2023,Giants,79,83,0.4876543209876543
2023,Cardinals,71,91,0.4382716049382716
2023,Nationals,71,91,0.4382716049382716
2023,Diamondbacks,84,78,0.5185185185185185
2023,Astros,90,72,0.5555555555555556
2023,Orioles,101,61,0.6234567901234568
2023,Red Sox,78,84,0.48148148148148145
2023,White Sox,61,101,0.3765432098765432
2023,Cleveland,76,86,0.4691358024691358
2023,Tigers,78,84,0.48148148148148145
2023,Royals,56,106,0.345679012345679
2023,Los Angeles Angels of Anaheim,73,89,0.4506172839506173
2023,Twins,87,75,0.5370370370370371
2023,Yankees,82,80,0.5061728395061729
2023,Athletics,50,112,0.30864197530864196
2023,Mariners,88,74,0.5432098765432098
2023,Rays,99,63,0.6111111111111112
2023,Rangers,90,72,0.5555555555555556
2023,Blue Jays,89,73,0.5493827160493827
2024,Braves,89,73,0.5493827160493827
2024,Cubs,83,79,0.5123456790123457
2024,Reds,77,85,0.47530864197530864
2024,Rockies,61,101,0.3765432098765432
2024,Dodgers,98,64,0.6049382716049383
2024,Marlins,62,100,0.38271604938271603
2024,Brewers,93,69,0.5740740740740741
2024,Mets,89,73,0.5493827160493827
2024,Phillies,95,67,0.5864197530864198
2024,Pirates,76,86,0.4691358024691358
2024,Padres,93,69,0.5740740740740741
2024,Giants,80,82,0.49382716049382713
2024,Cardinals,83,79,0.5123456790123457
2024,Nationals,71,91,0.4382716049382716
2024,Diamondbacks,89,73,0.5493827160493827
2024,Astros,88,73,0.546583850931677
2024,Orioles,91,71,0.5617283950617284
2024,Red Sox,81,81,0.5
2024,White Sox,41,121,0.25308641975308643
2024,Cleveland,92,69,0.5714285714285714
2024,Tigers,86,76,0.5308641975308642
2024,Royals,86,76,0.5308641975308642
2024,Los Angeles Angels of Anaheim,63,99,0.3888888888888889
2024,Twins,82,80,0.5061728395061729
2024,Yankees,94,68,0.5802469135802469
2024,Athletics,69,93,0.42592592592592593
2024,Mariners,85,77,0.5246913580246914
2024,Rays,80,82,0.49382716049382713
2024,Rangers,78,84,0.48148148148148145
2024,Blue Jays,74,88,0.4567901234567901
2025,Braves,76,86,0.4691358024691358
2025,Cubs,92,70,0.5679012345679012
2025,Reds,83,79,0.5123456790123457
2025,Rockies,43,119,0.2654320987654321
2025,Dodgers,93,69,0.5740740740740741
2025,Marlins,79,83,0.4876543209876543
2025,Brewers,97,65,0.5987654320987654
2025,Mets,83,79,0.5123456790123457
2025,Phillies,96,66,0.5925925925925926
2025,Pirates,71,91,0.4382716049382716
2025,Padres,90,72,0.5555555555555556
2025,Giants,81,81,0.5
2025,Cardinals,78,84,0.48148148148148145
2025,Nationals,66,96,0.4074074074074074
2025,Diamondbacks,80,82,0.49382716049382713
2025,Astros,87,75,0.5370370370370371
2025,Orioles,75,87,0.46296296296296297
2025,Red Sox,89,73,0.5493827160493827
2025,White Sox,60,102,0.37037037037037035
2025,Cleveland,88,74,0.5432098765432098
2025,Tigers,87,75,0.5370370370370371
2025,Royals,82,80,0.5061728395061729
2025,Los Angeles Angels of Anaheim,72,90,0.4444444444444444
2025,Twins,70,92,0.43209876543209874
2025,Yankees,94,68,0.5802469135802469
2025,Athletics,76,86,0.4691358024691358
2025,Mariners,90,72,0.5555555555555556
2025,Rays,77,85,0.47530864197530864
2025,Rangers,81,81,0.5
2025,Blue Jays,94,68,0.5802469135802469
